"","Age","Year","Population"
"1",NA,NA,NA
"2","0","2001",557502
"3","1","2001",572104
"4","2","2001",586546
"5","3","2001",596281
"6","4","2001",611406
"7","5","2001",607008
"8","6","2001",608881
"9","7","2001",623653
"10","8","2001",630796
"11","9","2001",650450
"12","10","2001",660955
"13","11","2001",650382
"14","12","2001",642727
"15","13","2001",650171
"16","14","2001",633826
"17","15","2001",625706
"18","16","2001",629729
"19","17","2001",607690
"20","18","2001",593746
"21","19","2001",588129
"22","20","2001",612518
"23","21","2001",616613
"24","22","2001",599160
"25","23","2001",576893
"26","24","2001",581400
"27","25","2001",603724
"28","26","2001",630571
"29","27","2001",654561
"30","28","2001",696247
"31","29","2001",735365
"32","30","2001",756225
"33","31","2001",750268
"34","32","2001",770400
"35","33","2001",777463
"36","34","2001",796206
"37","35","2001",796931
"38","36","2001",798783
"39","37","2001",790570
"40","38","2001",776545
"41","39","2001",756143
"42","40","2001",736326
"43","41","2001",708830
"44","42","2001",694600
"45","43","2001",685074
"46","44","2001",663083
"47","45","2001",640280
"48","46","2001",624378
"49","47","2001",627954
"50","48","2001",621132
"51","49","2001",615223
"52","50","2001",617818
"53","51","2001",636516
"54","52","2001",657414
"55","53","2001",707124
"56","54","2001",745951
"57","55","2001",607770
"58","56","2001",593845
"59","57","2001",579578
"60","58","2001",553477
"61","59","2001",498114
"62","60","2001",467092
"63","61","2001",487005
"64","62","2001",488071
"65","63","2001",482757
"66","64","2001",470534
"67","65","2001",456222
"68","66","2001",441673
"69","67","2001",423029
"70","68","2001",419424
"71","69","2001",419748
"72","70","2001",418497
"73","71","2001",406238
"74","72","2001",389768
"75","73","2001",372608
"76","74","2001",365793
"77","75","2001",354946
"78","76","2001",339266
"79","77","2001",326016
"80","78","2001",313336
"81","79","2001",311163
"82","80","2001",308622
"83","81","2001",287067
"84","82","2001",200110
"85","83","2001",160327
"86","84","2001",162830
"87","85","2001",155219
"88","86","2001",148434
"89","87","2001",130533
"90","88","2001",111700
"91","89","2001",92390
"92",NA,"2001",320567
"93","0","2002",559072
"94","1","2002",559188
"95","2","2002",574416
"96","3","2002",589440
"97","4","2002",599405
"98","5","2002",614820
"99","6","2002",610238
"100","7","2002",611499
"101","8","2002",626939
"102","9","2002",632843
"103","10","2002",652912
"104","11","2002",663404
"105","12","2002",650721
"106","13","2002",642301
"107","14","2002",648646
"108","15","2002",632470
"109","16","2002",626288
"110","17","2002",630897
"111","18","2002",611942
"112","19","2002",602402
"113","20","2002",596031
"114","21","2002",623727
"115","22","2002",631273
"116","23","2002",614417
"117","24","2002",590051
"118","25","2002",592793
"119","26","2002",613740
"120","27","2002",639044
"121","28","2002",662416
"122","29","2002",702910
"123","30","2002",737388
"124","31","2002",758547
"125","32","2002",752195
"126","33","2002",771688
"127","34","2002",778255
"128","35","2002",797150
"129","36","2002",798043
"130","37","2002",799886
"131","38","2002",791707
"132","39","2002",777880
"133","40","2002",759053
"134","41","2002",738179
"135","42","2002",710610
"136","43","2002",696153
"137","44","2002",686134
"138","45","2002",659475
"139","46","2002",637082
"140","47","2002",620510
"141","48","2002",624345
"142","49","2002",618189
"143","50","2002",613054
"144","51","2002",615886
"145","52","2002",634206
"146","53","2002",654633
"147","54","2002",703103
"148","55","2002",743699
"149","56","2002",602983
"150","57","2002",589067
"151","58","2002",576221
"152","59","2002",549000
"153","60","2002",494062
"154","61","2002",462138
"155","62","2002",481872
"156","63","2002",482751
"157","64","2002",477024
"158","65","2002",463742
"159","66","2002",449207
"160","67","2002",434613
"161","68","2002",415454
"162","69","2002",411016
"163","70","2002",410775
"164","71","2002",408208
"165","72","2002",395400
"166","73","2002",378019
"167","74","2002",360196
"168","75","2002",352165
"169","76","2002",340193
"170","77","2002",323900
"171","78","2002",309949
"172","79","2002",296628
"173","80","2002",292254
"174","81","2002",287985
"175","82","2002",265030
"176","83","2002",185183
"177","84","2002",145996
"178","85","2002",146730
"179","86","2002",138062
"180","87","2002",130664
"181","88","2002",113448
"182","89","2002",95465
"183",NA,"2002",330572
"184","0","2003",575898
"185","1","2003",559670
"186","2","2003",561672
"187","3","2003",577061
"188","4","2003",592909
"189","5","2003",603012
"190","6","2003",618423
"191","7","2003",614219
"192","8","2003",614737
"193","9","2003",630410
"194","10","2003",635470
"195","11","2003",655147
"196","12","2003",665542
"197","13","2003",651555
"198","14","2003",642784
"199","15","2003",650495
"200","16","2003",634417
"201","17","2003",630318
"202","18","2003",637983
"203","19","2003",622459
"204","20","2003",608883
"205","21","2003",607081
"206","22","2003",636193
"207","23","2003",645179
"208","24","2003",628006
"209","25","2003",600961
"210","26","2003",603217
"211","27","2003",622938
"212","28","2003",647392
"213","29","2003",669860
"214","30","2003",705708
"215","31","2003",739403
"216","32","2003",761424
"217","33","2003",753478
"218","34","2003",772638
"219","35","2003",779044
"220","36","2003",797142
"221","37","2003",798308
"222","38","2003",800337
"223","39","2003",792520
"224","40","2003",777246
"225","41","2003",758729
"226","42","2003",737587
"227","43","2003",710041
"228","44","2003",695616
"229","45","2003",684913
"230","46","2003",658477
"231","47","2003",636182
"232","48","2003",618962
"233","49","2003",622908
"234","50","2003",615969
"235","51","2003",609813
"236","52","2003",612857
"237","53","2003",630774
"238","54","2003",650785
"239","55","2003",696732
"240","56","2003",739466
"241","57","2003",596688
"242","58","2003",583159
"243","59","2003",571623
"244","60","2003",544274
"245","61","2003",489775
"246","62","2003",456714
"247","63","2003",476283
"248","64","2003",476991
"249","65","2003",470131
"250","66","2003",456287
"251","67","2003",441787
"252","68","2003",427136
"253","69","2003",407126
"254","70","2003",401983
"255","71","2003",401191
"256","72","2003",397268
"257","73","2003",383808
"258","74","2003",365734
"259","75","2003",347254
"260","76","2003",337785
"261","77","2003",324901
"262","78","2003",307977
"263","79","2003",293156
"264","80","2003",278916
"265","81","2003",273151
"266","82","2003",266722
"267","83","2003",242773
"268","84","2003",170294
"269","85","2003",131445
"270","86","2003",130797
"271","87","2003",121222
"272","88","2003",113634
"273","89","2003",96967
"274",NA,"2003",339615
"275","0","2004",597087
"276","1","2004",575093
"277","2","2004",560054
"278","3","2004",563931
"279","4","2004",579825
"280","5","2004",596528
"281","6","2004",606000
"282","7","2004",621878
"283","8","2004",617893
"284","9","2004",617567
"285","10","2004",632425
"286","11","2004",636571
"287","12","2004",655097
"288","13","2004",665401
"289","14","2004",649740
"290","15","2004",644054
"291","16","2004",652594
"292","17","2004",636158
"293","18","2004",636682
"294","19","2004",649084
"295","20","2004",630928
"296","21","2004",624523
"297","22","2004",627661
"298","23","2004",656866
"299","24","2004",666626
"300","25","2004",641493
"301","26","2004",611604
"302","27","2004",612991
"303","28","2004",632020
"304","29","2004",655221
"305","30","2004",671763
"306","31","2004",707659
"307","32","2004",740197
"308","33","2004",762433
"309","34","2004",753567
"310","35","2004",773674
"311","36","2004",779322
"312","37","2004",796931
"313","38","2004",798103
"314","39","2004",800278
"315","40","2004",790918
"316","41","2004",775413
"317","42","2004",757677
"318","43","2004",735705
"319","44","2004",708471
"320","45","2004",694444
"321","46","2004",683283
"322","47","2004",656854
"323","48","2004",634734
"324","49","2004",616718
"325","50","2004",619389
"326","51","2004",612944
"327","52","2004",605649
"328","53","2004",609051
"329","54","2004",626331
"330","55","2004",646422
"331","56","2004",690908
"332","57","2004",735994
"333","58","2004",591242
"334","59","2004",577547
"335","60","2004",567349
"336","61","2004",538939
"337","62","2004",484664
"338","63","2004",450629
"339","64","2004",469943
"340","65","2004",469704
"341","66","2004",462860
"342","67","2004",448542
"343","68","2004",433634
"344","69","2004",418632
"345","70","2004",398479
"346","71","2004",392444
"347","72","2004",390808
"348","73","2004",385862
"349","74","2004",371782
"350","75","2004",352724
"351","76","2004",333902
"352","77","2004",322960
"353","78","2004",309201
"354","79","2004",291641
"355","80","2004",275976
"356","81","2004",260834
"357","82","2004",253561
"358","83","2004",245130
"359","84","2004",220242
"360","85","2004",155275
"361","86","2004",116735
"362","87","2004",115021
"363","88","2004",104845
"364","89","2004",97353
"365",NA,"2004",347713
"366","0","2005",606776
"367","1","2005",596809
"368","2","2005",575954
"369","3","2005",561503
"370","4","2005",566945
"371","5","2005",581227
"372","6","2005",598226
"373","7","2005",607633
"374","8","2005",623497
"375","9","2005",620142
"376","10","2005",620214
"377","11","2005",635666
"378","12","2005",638363
"379","13","2005",656325
"380","14","2005",666445
"381","15","2005",652454
"382","16","2005",647480
"383","17","2005",655938
"384","18","2005",642597
"385","19","2005",649820
"386","20","2005",660529
"387","21","2005",648643
"388","22","2005",649227
"389","23","2005",653305
"390","24","2005",682023
"391","25","2005",687077
"392","26","2005",660636
"393","27","2005",627065
"394","28","2005",628017
"395","29","2005",645467
"396","30","2005",663500
"397","31","2005",678563
"398","32","2005",713883
"399","33","2005",744807
"400","34","2005",767466
"401","35","2005",757863
"402","36","2005",777087
"403","37","2005",782018
"404","38","2005",798556
"405","39","2005",799472
"406","40","2005",801371
"407","41","2005",791873
"408","42","2005",775994
"409","43","2005",758661
"410","44","2005",735938
"411","45","2005",707494
"412","46","2005",693468
"413","47","2005",681619
"414","48","2005",655340
"415","49","2005",633354
"416","50","2005",614785
"417","51","2005",617608
"418","52","2005",611514
"419","53","2005",603137
"420","54","2005",606763
"421","55","2005",623021
"422","56","2005",642358
"423","57","2005",685536
"424","58","2005",733184
"425","59","2005",586025
"426","60","2005",571335
"427","61","2005",562455
"428","62","2005",533152
"429","63","2005",478957
"430","64","2005",443865
"431","65","2005",463364
"432","66","2005",462985
"433","67","2005",455864
"434","68","2005",440767
"435","69","2005",425531
"436","70","2005",410500
"437","71","2005",389705
"438","72","2005",382659
"439","73","2005",380378
"440","74","2005",374394
"441","75","2005",359766
"442","76","2005",339391
"443","77","2005",320205
"444","78","2005",307929
"445","79","2005",292956
"446","80","2005",275169
"447","81","2005",258609
"448","82","2005",243045
"449","83","2005",234125
"450","84","2005",223963
"451","85","2005",198107
"452","86","2005",140498
"453","87","2005",103087
"454","88","2005",100105
"455","89","2005",89456
"456",NA,"2005",355451
"457","0","2006",622805
"458","1","2006",606029
"459","2","2006",596170
"460","3","2006",576028
"461","4","2006",562083
"462","5","2006",568461
"463","6","2006",582924
"464","7","2006",600295
"465","8","2006",609683
"466","9","2006",625740
"467","10","2006",623261
"468","11","2006",622895
"469","12","2006",638428
"470","13","2006",640160
"471","14","2006",657231
"472","15","2006",670744
"473","16","2006",655753
"474","17","2006",651137
"475","18","2006",661906
"476","19","2006",651489
"477","20","2006",660461
"478","21","2006",676690
"479","22","2006",669005
"480","23","2006",672195
"481","24","2006",676996
"482","25","2006",695307
"483","26","2006",700762
"484","27","2006",673249
"485","28","2006",637635
"486","29","2006",637572
"487","30","2006",652469
"488","31","2006",668962
"489","32","2006",683634
"490","33","2006",717809
"491","34","2006",747997
"492","35","2006",770690
"493","36","2006",759374
"494","37","2006",778327
"495","38","2006",782627
"496","39","2006",798367
"497","40","2006",797231
"498","41","2006",798951
"499","42","2006",790172
"500","43","2006",774066
"501","44","2006",757409
"502","45","2006",734966
"503","46","2006",706645
"504","47","2006",692441
"505","48","2006",680085
"506","49","2006",653741
"507","50","2006",631231
"508","51","2006",612050
"509","52","2006",614887
"510","53","2006",609201
"511","54","2006",599663
"512","55","2006",603791
"513","56","2006",619350
"514","57","2006",638471
"515","58","2006",680486
"516","59","2006",730216
"517","60","2006",579584
"518","61","2006",564852
"519","62","2006",557605
"520","63","2006",527075
"521","64","2006",473187
"522","65","2006",435523
"523","66","2006",455545
"524","67","2006",454725
"525","68","2006",447421
"526","69","2006",431829
"527","70","2006",416695
"528","71","2006",401431
"529","72","2006",380094
"530","73","2006",371897
"531","74","2006",369093
"532","75","2006",362127
"533","76","2006",346871
"534","77","2006",325777
"535","78","2006",305750
"536","79","2006",292676
"537","80","2006",277123
"538","81","2006",258574
"539","82","2006",241289
"540","83","2006",225329
"541","84","2006",214767
"542","85","2006",203169
"543","86","2006",176896
"544","87","2006",126393
"545","88","2006",90047
"546","89","2006",86262
"547",NA,"2006",357177
"548","0","2007",642603
"549","1","2007",625519
"550","2","2007",606917
"551","3","2007",596871
"552","4","2007",577110
"553","5","2007",563399
"554","6","2007",571289
"555","7","2007",586109
"556","8","2007",603863
"557","9","2007",612837
"558","10","2007",629615
"559","11","2007",627118
"560","12","2007",626071
"561","13","2007",642238
"562","14","2007",642426
"563","15","2007",661568
"564","16","2007",676298
"565","17","2007",660933
"566","18","2007",659283
"567","19","2007",674484
"568","20","2007",661604
"569","21","2007",676793
"570","22","2007",696334
"571","23","2007",689366
"572","24","2007",695019
"573","25","2007",694018
"574","26","2007",711238
"575","27","2007",716409
"576","28","2007",688237
"577","29","2007",649216
"578","30","2007",640284
"579","31","2007",654716
"580","32","2007",670766
"581","33","2007",684917
"582","34","2007",718938
"583","35","2007",751774
"584","36","2007",774493
"585","37","2007",762008
"586","38","2007",780268
"587","39","2007",783748
"588","40","2007",798042
"589","41","2007",797025
"590","42","2007",798830
"591","43","2007",790147
"592","44","2007",773981
"593","45","2007",755118
"594","46","2007",732169
"595","47","2007",704106
"596","48","2007",689634
"597","49","2007",676990
"598","50","2007",651297
"599","51","2007",628945
"600","52","2007",609124
"601","53","2007",612044
"602","54","2007",606779
"603","55","2007",596103
"604","56","2007",600328
"605","57","2007",615591
"606","58","2007",634190
"607","59","2007",674871
"608","60","2007",724121
"609","61","2007",571596
"610","62","2007",557174
"611","63","2007",551291
"612","64","2007",519732
"613","65","2007",466875
"614","66","2007",428632
"615","67","2007",448203
"616","68","2007",447360
"617","69","2007",439351
"618","70","2007",423642
"619","71","2007",408040
"620","72","2007",392557
"621","73","2007",370667
"622","74","2007",361340
"623","75","2007",357959
"624","76","2007",349623
"625","77","2007",333794
"626","78","2007",311924
"627","79","2007",291377
"628","80","2007",277006
"629","81","2007",260900
"630","82","2007",241628
"631","83","2007",224069
"632","84","2007",207387
"633","85","2007",195727
"634","86","2007",182561
"635","87","2007",156093
"636","88","2007",113191
"637","89","2007",77687
"638",NA,"2007",357575
"639","0","2008",667840
"640","1","2008",642968
"641","2","2008",628030
"642","3","2008",607109
"643","4","2008",596758
"644","5","2008",577429
"645","6","2008",564338
"646","7","2008",574056
"647","8","2008",589158
"648","9","2008",607073
"649","10","2008",615251
"650","11","2008",632265
"651","12","2008",629903
"652","13","2008",628463
"653","14","2008",644860
"654","15","2008",647366
"655","16","2008",667013
"656","17","2008",682497
"657","18","2008",669058
"658","19","2008",671235
"659","20","2008",682677
"660","21","2008",673354
"661","22","2008",692690
"662","23","2008",711948
"663","24","2008",704736
"664","25","2008",706740
"665","26","2008",706571
"666","27","2008",722727
"667","28","2008",728572
"668","29","2008",699436
"669","30","2008",658120
"670","31","2008",647908
"671","32","2008",661884
"672","33","2008",676727
"673","34","2008",690266
"674","35","2008",721128
"675","36","2008",753134
"676","37","2008",776715
"677","38","2008",762872
"678","39","2008",780683
"679","40","2008",781558
"680","41","2008",795176
"681","42","2008",794225
"682","43","2008",796317
"683","44","2008",788196
"684","45","2008",772995
"685","46","2008",754697
"686","47","2008",731051
"687","48","2008",703178
"688","49","2008",688599
"689","50","2008",675850
"690","51","2008",650546
"691","52","2008",628438
"692","53","2008",607793
