"","sex","year","outflow"
"1","person",2018,346478
"2","person",2019,341981
"3","person",2020,336972
"4","person",2021,332485
"5","person",2022,327490
"6","person",2023,322992
"7","person",2024,317983
"8","person",2025,317983
"9","person",2026,317983
"10","person",2027,317983
"11","person",2028,317983
"12","person",2029,317983
"13","person",2030,317983
"14","person",2031,317983
"15","person",2032,317983
"16","person",2033,317983
"17","person",2034,317983
"18","person",2035,317983
"19","person",2036,317983
"20","person",2037,317983
"21","person",2038,317983
"22","person",2039,317983
"23","person",2040,317983
"24","person",2041,317983
"25","person",2042,317983
"26","person",2043,317983
"27","person",2044,317983
"28","person",2045,317983
"29","person",2046,317983
"30","person",2047,317983
"31","person",2048,317983
"32","person",2049,317983
"33","person",2050,317983
"34","person",2051,317983
"35","person",2052,317983
"36","person",2053,317983
"37","person",2054,317983
"38","person",2055,317983
"39","person",2056,317983
"40","person",2057,317983
"41","person",2058,317983
"42","person",2059,317983
"43","person",2060,317983
"44","person",2061,317983
"45","person",2062,317983
"46","person",2063,317983
"47","person",2064,317983
"48","person",2065,317983
"49","person",2066,317983
"50","person",2067,317983
"51","person",2068,317983
"52","person",2069,317983
"53","person",2070,317983
"54","person",2071,317983
"55","person",2072,317983
"56","person",2073,317983
"57","person",2074,317983
"58","person",2075,317983
"59","person",2076,317983
"60","person",2077,317983
"61","person",2078,317983
"62","person",2079,317983
"63","person",2080,317983
"64","person",2081,317983
"65","person",2082,317983
"66","person",2083,317983
"67","person",2084,317983
"68","person",2085,317983
"69","person",2086,317983
"70","person",2087,317983
"71","person",2088,317983
"72","person",2089,317983
"73","person",2090,317983
"74","person",2091,317983
"75","person",2092,317983
"76","person",2093,317983
"77","person",2094,317983
"78","person",2095,317983
"79","person",2096,317983
"80","person",2097,317983
"81","person",2098,317983
"82","person",2099,317983
"83","person",2100,317983
"84","person",2101,317983
"85","person",2102,317983
"86","person",2103,317983
"87","person",2104,317983
"88","person",2105,317983
"89","person",2106,317983
"90","person",2107,317983
"91","person",2108,317983
"92","person",2109,317983
"93","person",2110,317983
"94","person",2111,317983
"95","person",2112,317983
"96","person",2113,317983
"97","person",2114,317983
"98","person",2115,317983
"99","person",2116,317983
"100","person",2117,317983
"101","male",2018,193205
"102","male",2019,190639
"103","male",2020,187818
"104","male",2021,185301
"105","male",2022,182485
"106","male",2023,179950
"107","male",2024,177129
"108","male",2025,177129
"109","male",2026,177129
"110","male",2027,177129
"111","male",2028,177129
"112","male",2029,177129
"113","male",2030,177129
"114","male",2031,177129
"115","male",2032,177129
"116","male",2033,177129
"117","male",2034,177129
"118","male",2035,177129
"119","male",2036,177129
"120","male",2037,177129
"121","male",2038,177129
"122","male",2039,177129
"123","male",2040,177129
"124","male",2041,177129
"125","male",2042,177129
"126","male",2043,177129
"127","male",2044,177129
"128","male",2045,177129
"129","male",2046,177129
"130","male",2047,177129
"131","male",2048,177129
"132","male",2049,177129
"133","male",2050,177129
"134","male",2051,177129
"135","male",2052,177129
"136","male",2053,177129
"137","male",2054,177129
"138","male",2055,177129
"139","male",2056,177129
"140","male",2057,177129
"141","male",2058,177129
"142","male",2059,177129
"143","male",2060,177129
"144","male",2061,177129
"145","male",2062,177129
"146","male",2063,177129
"147","male",2064,177129
"148","male",2065,177129
"149","male",2066,177129
"150","male",2067,177129
"151","male",2068,177129
"152","male",2069,177129
"153","male",2070,177129
"154","male",2071,177129
"155","male",2072,177129
"156","male",2073,177129
"157","male",2074,177129
"158","male",2075,177129
"159","male",2076,177129
"160","male",2077,177129
"161","male",2078,177129
"162","male",2079,177129
"163","male",2080,177129
"164","male",2081,177129
"165","male",2082,177129
"166","male",2083,177129
"167","male",2084,177129
"168","male",2085,177129
"169","male",2086,177129
"170","male",2087,177129
"171","male",2088,177129
"172","male",2089,177129
"173","male",2090,177129
"174","male",2091,177129
"175","male",2092,177129
"176","male",2093,177129
"177","male",2094,177129
"178","male",2095,177129
"179","male",2096,177129
"180","male",2097,177129
"181","male",2098,177129
"182","male",2099,177129
"183","male",2100,177129
"184","male",2101,177129
"185","male",2102,177129
"186","male",2103,177129
"187","male",2104,177129
"188","male",2105,177129
"189","male",2106,177129
"190","male",2107,177129
"191","male",2108,177129
"192","male",2109,177129
"193","male",2110,177129
"194","male",2111,177129
"195","male",2112,177129
"196","male",2113,177129
"197","male",2114,177129
"198","male",2115,177129
"199","male",2116,177129
"200","male",2117,177129
"201","female",2018,153273
"202","female",2019,151342
"203","female",2020,149154
"204","female",2021,147184
"205","female",2022,145005
"206","female",2023,143042
"207","female",2024,140854
"208","female",2025,140854
"209","female",2026,140854
"210","female",2027,140854
"211","female",2028,140854
"212","female",2029,140854
"213","female",2030,140854
"214","female",2031,140854
"215","female",2032,140854
"216","female",2033,140854
"217","female",2034,140854
"218","female",2035,140854
"219","female",2036,140854
"220","female",2037,140854
"221","female",2038,140854
"222","female",2039,140854
"223","female",2040,140854
"224","female",2041,140854
"225","female",2042,140854
"226","female",2043,140854
"227","female",2044,140854
"228","female",2045,140854
"229","female",2046,140854
"230","female",2047,140854
"231","female",2048,140854
"232","female",2049,140854
"233","female",2050,140854
"234","female",2051,140854
"235","female",2052,140854
"236","female",2053,140854
"237","female",2054,140854
"238","female",2055,140854
"239","female",2056,140854
"240","female",2057,140854
"241","female",2058,140854
"242","female",2059,140854
"243","female",2060,140854
"244","female",2061,140854
"245","female",2062,140854
"246","female",2063,140854
"247","female",2064,140854
"248","female",2065,140854
"249","female",2066,140854
"250","female",2067,140854
"251","female",2068,140854
"252","female",2069,140854
"253","female",2070,140854
"254","female",2071,140854
"255","female",2072,140854
"256","female",2073,140854
"257","female",2074,140854
"258","female",2075,140854
"259","female",2076,140854
"260","female",2077,140854
"261","female",2078,140854
"262","female",2079,140854
"263","female",2080,140854
"264","female",2081,140854
"265","female",2082,140854
"266","female",2083,140854
"267","female",2084,140854
"268","female",2085,140854
"269","female",2086,140854
"270","female",2087,140854
"271","female",2088,140854
"272","female",2089,140854
"273","female",2090,140854
"274","female",2091,140854
"275","female",2092,140854
"276","female",2093,140854
"277","female",2094,140854
"278","female",2095,140854
"279","female",2096,140854
"280","female",2097,140854
"281","female",2098,140854
"282","female",2099,140854
"283","female",2100,140854
"284","female",2101,140854
"285","female",2102,140854
"286","female",2103,140854
"287","female",2104,140854
"288","female",2105,140854
"289","female",2106,140854
"290","female",2107,140854
"291","female",2108,140854
"292","female",2109,140854
"293","female",2110,140854
"294","female",2111,140854
"295","female",2112,140854
"296","female",2113,140854
"297","female",2114,140854
"298","female",2115,140854
"299","female",2116,140854
"300","female",2117,140854
